feature,name_patterns_matched,is_lab_test,is_vital,contains_disease_token,semantic_target_labels,forced_research_only,derived_representation,best_label,max_single_feature_auc,mutual_info,stage,decision,rationale
Centre de santé,,False,False,False,,False,model_encoding,typhoid,0.7284,0.0409,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Genre (Gender),,False,False,False,,False,model_encoding,yellow_fever,0.5786,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Âge (Age),,False,False,False,,False,model_encoding,dengue,0.6754,0.0485,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Poids (Weight),,False,False,False,,False,model_encoding,dengue,0.7261,0.0434,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Circonference du bras (Mua circumference),,False,False,False,,False,missing_indicator,dengue,0.5391,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
"Haute température.(temperature, Hyperpyrexia)",,False,False,False,,False,model_encoding,other_diseases,0.6179,0.0599,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Fièvre depuis 48 heures(Fever 48 hrs),fever;fièvre,False,False,False,,False,model_encoding,other_diseases,0.6281,0.0994,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),fever;fièvre,False,False,False,,False,model_encoding,malaria,0.5886,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Type de fièvre (Type of Fever),fever;fièvre,False,False,False,,False,model_encoding,typhoid,0.673,0.0074,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Perte de poids (Loss of Weight),,False,False,False,,False,model_encoding,dengue,0.5503,0.0032,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maux de tête (headache),,False,False,False,,False,model_encoding,other_diseases,0.6178,0.0014,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Nausée (Nausea),,False,False,False,,False,model_encoding,typhoid,0.5797,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Vomissement (Vomiting),,False,False,False,,False,model_encoding,yellow_fever,0.5964,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur articulaire (Joint pain),,False,False,False,,False,model_encoding,yellow_fever,0.7086,0.0098,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Gonflement des articulations (Joint Swelling),,False,False,False,,False,model_encoding,dengue,0.5056,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur musculaire ( Muscle pain),,False,False,False,,False,model_encoding,yellow_fever,0.7311,0.013,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur Thoracique (Chaist pain),,False,False,False,,False,model_encoding,other_diseases,0.5506,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),,False,False,False,,False,model_encoding,dengue,0.5719,0.0264,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Troubles de la conscience (Consciousness trouble),,False,False,False,,False,model_encoding,yellow_fever,0.5676,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),,False,False,False,,False,model_encoding,other_diseases,0.6209,0.0059,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Éruptions cutanées ou Exanthème (Skin rash or Exanthema),,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Éruption morbilliforme (Morbilliform rash),,False,False,False,,False,model_encoding,malaria,0.5263,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Saignement/ Manifestations hémorragiques (Bleeding),,False,False,False,,False,model_encoding,malaria,0.5214,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
