feature,name_patterns_matched,is_lab_test,is_vital,contains_disease_token,semantic_target_labels,forced_research_only,derived_representation,best_label,max_single_feature_auc,mutual_info,stage,decision,rationale
Centre de santé,,False,False,False,,False,model_encoding,typhoid,0.7051,0.0219,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Genre (Gender),,False,False,False,,False,model_encoding,yellow_fever,0.6241,0.0002,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Âge (Age),,False,False,False,,False,model_encoding,dengue,0.6971,0.084,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Poids (Weight),,False,False,False,,False,model_encoding,dengue,0.695,0.0375,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Circonference du bras (Mua circumference),,False,False,False,,False,missing_indicator,typhoid,0.5463,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
"Haute température.(temperature, Hyperpyrexia)",,False,False,False,,False,model_encoding,other_diseases,0.6141,0.0316,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Fièvre depuis 48 heures(Fever 48 hrs),fever;fièvre,False,False,False,,False,model_encoding,other_diseases,0.609,0.0165,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),fever;fièvre,False,False,False,,False,model_encoding,typhoid,0.5587,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Type de fièvre (Type of Fever),fever;fièvre,False,False,False,,False,model_encoding,typhoid,0.6527,0.0238,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Perte de poids (Loss of Weight),,False,False,False,,False,model_encoding,yellow_fever,0.5383,0.0016,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maux de tête (headache),,False,False,False,,False,model_encoding,yellow_fever,0.615,0.0076,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Nausée (Nausea),,False,False,False,,False,model_encoding,yellow_fever,0.5546,0.0072,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Vomissement (Vomiting),,False,False,False,,False,model_encoding,yellow_fever,0.5928,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur articulaire (Joint pain),,False,False,False,,False,model_encoding,yellow_fever,0.6972,0.0175,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Gonflement des articulations (Joint Swelling),,False,False,False,,False,model_encoding,malaria,0.5135,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur musculaire ( Muscle pain),,False,False,False,,False,model_encoding,yellow_fever,0.7334,0.0216,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur Thoracique (Chaist pain),,False,False,False,,False,model_encoding,other_diseases,0.5507,0.0264,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),,False,False,False,,False,model_encoding,dengue,0.5816,0.0067,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Troubles de la conscience (Consciousness trouble),,False,False,False,,False,model_encoding,yellow_fever,0.6125,0.0149,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),,False,False,False,,False,model_encoding,other_diseases,0.6223,0.0508,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Éruptions cutanées ou Exanthème (Skin rash or Exanthema),,False,False,False,,False,model_encoding,malaria,0.5172,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Éruption morbilliforme (Morbilliform rash),,False,False,False,,False,model_encoding,malaria,0.5345,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Saignement/ Manifestations hémorragiques (Bleeding),,False,False,False,,False,model_encoding,malaria,0.5289,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Rhinorrhée (Rhinorrhea),,False,False,False,,False,model_encoding,malaria,0.5314,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Somnolence ou léthargie  (Drowsiness or lethargy),,False,False,False,,False,model_encoding,malaria,0.5989,0.0032,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Vertige (Dizzy),,False,False,False,,False,model_encoding,typhoid,0.7128,0.0489,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Inflammation de conjonctivite,,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur abdominale (stomac pain),,False,False,False,,False,model_encoding,typhoid,0.6513,0.0278,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),,False,False,False,,False,missing_indicator,yellow_fever,0.5399,0.001,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mal de gorge (throat pain),,False,False,False,,False,model_encoding,malaria,0.5135,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Toux (Cough),,False,False,False,,False,model_encoding,other_diseases,0.6015,0.0626,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Diarrhée  (Diarrhea),,False,False,False,,False,model_encoding,malaria,0.5892,0.0014,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur rétro-orbitrale (Retro-orbital pain),,False,False,False,,False,model_encoding,dengue,0.5474,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Céphalée (Headache),,False,False,False,,False,model_encoding,typhoid,0.5973,0.0026,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Sensation de frissons ou de froid (Shiver or cold sensation),,False,False,False,,False,model_encoding,yellow_fever,0.6553,0.0026,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mictions fréquentes.(Frequent Urination),,False,False,False,,False,model_encoding,malaria,0.5499,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Constipation,,False,False,False,,False,model_encoding,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Oligurie (Oliguria),,False,False,False,,False,model_encoding,dengue,0.6296,0.022,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mictions fréquentes. (Frequent Urination),,False,False,False,,False,model_encoding,yellow_fever,0.5382,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Prostration,,False,False,False,,False,model_encoding,other_diseases,0.5867,0.0116,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Ictère (Icterus),,False,False,False,,False,model_encoding,other_diseases,0.5178,0.017,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Epistaxis ((Bleeding nose),,False,False,False,,False,model_encoding,malaria,0.5345,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Convulsions généralisées ou focales (Generalised or focal convulsion),,False,False,False,,False,model_encoding,typhoid,0.5593,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Convulsions multiples (Multiple convulsions),,False,False,False,,False,model_encoding,typhoid,0.5556,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Délire,,False,False,False,,False,model_encoding,malaria,0.5289,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Confusion/ niveau de conscience altéré (impaired level of consciousness),,False,False,False,,False,model_encoding,dengue,0.5069,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Rougeur faciale (Facial flushing),,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Gonflement du visage (Facial Swelling),,False,False,False,,False,missing_indicator,yellow_fever,0.5417,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Sudation excessive (Profuse sweating),,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Délire /Discours irrationnel (Delirium/ Irrational Talking),,False,False,False,,False,missing_indicator,typhoid,0.5172,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hémoglobinurie (Hemoglobinuria),,False,False,False,,False,model_encoding,typhoid,0.5204,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Goût amer dans la gorge (Bitter taste in your Throat),,False,False,False,,False,model_encoding,yellow_fever,0.5399,0.0014,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Test de garrot positif (Positive tourniquet test),test;positive;positif,False,False,False,,False,model_encoding,dengue,0.6344,0.0134,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Raideur (Stiffness),,False,False,False,,False,model_encoding,other_diseases,0.5125,0.0123,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Détresse respiratoire (Respiratory distress),,False,False,False,,False,model_encoding,other_diseases,0.5887,0.08,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Choc septique (Shock),,False,False,False,,False,model_encoding,other_diseases,0.5076,0.0064,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hépatomégalie (Hepatomegaly),,False,False,False,,False,model_encoding,dengue,0.6131,0.0225,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),,False,False,False,,False,model_encoding,other_diseases,0.5101,0.0107,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),,False,False,False,,False,model_encoding,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Splénomégalie modérée,,False,False,False,,False,model_encoding,dengue,0.6145,0.0052,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Choc septique (Septicemia),,False,False,False,,False,model_encoding,dengue,0.5041,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Syndrome d'icterus subaigu (Sub-icterus),,False,False,False,,False,model_encoding,other_diseases,0.5076,0.0089,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Lymphadénopathie / Lymphadenopa thy,,False,False,False,,False,missing_indicator,dengue,0.5089,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),,False,True,False,,False,model_encoding,typhoid,0.651,0.0209,T1_vital,pre_lab,Vital sign (pre-lab)
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),,False,True,False,,False,model_encoding,typhoid,0.6062,0.019,T1_vital,pre_lab,Vital sign (pre-lab)
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,,False,True,False,,False,model_encoding,typhoid,0.705,0.0099,T1_vital,pre_lab,Vital sign (pre-lab)
Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),,False,True,False,,False,missing_indicator,dengue,0.707,0.0124,T1_vital,pre_lab,Vital sign (pre-lab)
Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),,False,True,False,,False,missing_indicator,dengue,0.6433,0.0191,T1_vital,pre_lab,Vital sign (pre-lab)
Test TDR,test;tdr,True,False,False,,False,model_encoding,malaria,0.8681,0.1019,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Goutte épaisse,goutte,True,False,False,,False,model_encoding,malaria,0.8163,0.0853,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Hémoconcentration,,True,False,False,,False,model_encoding,dengue,0.6227,0.0272,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),,False,False,False,,False,model_encoding,typhoid,0.6755,0.0276,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hypoglycémie (Hypoglycemia),,False,False,False,,False,model_encoding,malaria,0.5332,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hematocrite (Hematrocrit),,True,False,False,,False,model_encoding,malaria,0.6229,0.0373,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Transaminases (Transaminases),,True,False,False,,False,model_encoding,typhoid,0.5389,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Thrombocytopénie(Thrombocytopenia),,True,False,False,,False,model_encoding,malaria,0.5716,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytopénie (Lymphocytopenia),,True,False,False,,False,model_encoding,malaria,0.5204,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytes,,True,False,False,,False,missing_indicator,typhoid,0.6577,0.0071,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Neutropénie (Neutropenia),,True,False,False,,False,model_encoding,malaria,0.5215,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),,True,False,False,,False,model_encoding,typhoid,0.6645,0.0077,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Numération plaquettaire Platelet count,,True,False,False,,False,model_encoding,other_diseases,0.6701,0.0765,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
